card1,card2,position,skill,decision,played_at
2d,7s,sb,advanced,fold,2023-11-30 02:00:06.725164
9h,2s,bb,advanced,fold,2023-11-30 02:00:10.034737
4s,6c,sb,advanced,fold,2023-11-30 02:00:21.677629
Ac,Jh,sb,beginner,aggress,2023-11-30 02:28:36.395349
Qc,Qd,sb,beginner,aggress,2023-11-30 02:28:53.482061
2s,3h,sb,beginner,fold,2023-11-30 02:29:01.826625
7h,4s,bb,beginner,fold,2023-11-30 02:29:06.480108
Jc,Kh,sb,beginner,aggress,2023-11-30 02:29:09.562128
7h,8d,bb,beginner,aggress,2023-11-30 02:29:16.129268
5h,6c,sb,beginner,aggress,2023-11-30 02:29:28.497516
6s,Th,sb,beginner,aggress,2023-11-30 02:29:43.695312
2h,Th,sb,beginner,fold,2023-11-30 02:29:52.021707
3c,2s,bb,beginner,fold,2023-11-30 02:29:54.535105
9d,9h,sb,beginner,aggress,2023-11-30 02:29:57.527318
Ad,7s,sb,beginner,aggress,2023-11-30 02:30:04.405051
8c,3h,bb,beginner,fold,2023-11-30 02:30:07.295084
7c,5d,sb,beginner,fold,2023-11-30 02:30:09.739591
7s,6d,bb,beginner,aggress,2023-11-30 02:30:12.480269
Ks,6c,sb,beginner,aggress,2023-11-30 02:32:18.709837
Th,Jh,bb,beginner,aggress,2023-11-30 02:32:24.42581
Ac,Jc,sb,beginner,aggress,2023-11-30 02:32:41.47625
As,6d,bb,beginner,aggress,2023-11-30 02:32:59.570957
6d,Kd,sb,beginner,fold,2023-11-30 02:33:17.320386
4s,2h,sb,beginner,fold,2023-11-30 02:33:23.901924
5s,Qd,bb,beginner,fold,2023-11-30 02:35:28.87318
2d,7d,sb,beginner,fold,2023-11-30 02:35:35.12562
Jh,9d,bb,beginner,aggress,2023-11-30 02:35:40.762613
Qd,Ah,sb,beginner,aggress,2023-11-30 02:35:51.467024
Ts,6d,sb,beginner,fold,2023-11-30 02:35:59.87883
7h,Kc,sb,beginner,aggress,2023-11-30 02:36:31.761237
6s,2s,sb,beginner,fold,2023-11-30 02:36:42.121131
Qh,6c,sb,beginner,fold,2023-11-30 02:36:50.160296
4c,3h,bb,beginner,fold,2023-11-30 02:36:52.365831
4c,2s,sb,beginner,fold,2023-11-30 02:36:54.035956
6c,Js,sb,beginner,fold,2023-11-30 02:37:00.688504
6h,Jd,sb,beginner,fold,2023-11-30 02:37:06.733414
8h,Kd,bb,beginner,aggress,2023-11-30 02:37:10.013389
Kh,2s,sb,beginner,fold,2023-11-30 02:38:47.482646
2d,2s,bb,beginner,aggress,2023-11-30 02:38:49.536816
9d,Ts,bb,advanced,aggress,2023-11-30 02:39:56.225885
2s,Ad,sb,advanced,aggress,2023-11-30 02:40:06.101167
9c,2d,bb,advanced,fold,2023-11-30 02:40:16.420923
Qc,Ad,sb,advanced,aggress,2023-11-30 02:40:19.231765
9d,6d,bb,advanced,aggress,2023-11-30 02:40:24.413704
6d,5s,sb,advanced,fold,2023-11-30 03:06:45.757445
Kd,2c,sb,advanced,aggress,2023-11-30 03:06:54.138561
9s,Kc,sb,advanced,aggress,2023-11-30 03:08:36.339229
As,9c,bb,advanced,aggress,2023-11-30 03:15:04.708714
8d,7s,sb,advanced,fold,2023-11-30 03:22:34.159189
Kd,Kc,bb,advanced,aggress,2023-11-30 03:22:43.371671
2s,Jh,sb,intermediate,fold,2023-11-30 03:30:04.443098
Kc,3d,sb,intermediate,aggress,2023-11-30 03:30:14.128621
8s,5c,sb,intermediate,fold,2023-11-30 03:30:22.86044
2c,8h,sb,intermediate,fold,2023-11-30 03:30:34.539667
2s,3c,bb,intermediate,fold,2023-11-30 03:30:37.150074
Td,As,sb,intermediate,aggress,2023-11-30 03:30:40.004098
Js,3c,sb,beginner,fold,2023-11-30 03:32:32.593342
3d,2d,bb,beginner,fold,2023-11-30 03:32:49.896194
Ts,Jc,sb,intermediate,aggress,2023-11-30 03:32:50.297992
2c,9d,sb,beginner,fold,2023-11-30 03:33:00.009127
8c,5s,bb,intermediate,fold,2023-11-30 03:33:04.610854
Qs,9h,sb,intermediate,aggress,2023-11-30 03:33:14.900116
7c,Th,bb,intermediate,fold,2023-11-30 03:33:22.063981
Kh,3s,sb,intermediate,aggress,2023-11-30 03:33:24.599922
Qc,Jh,sb,intermediate,aggress,2023-11-30 03:33:30.093574
6c,6d,sb,beginner,aggress,2023-11-30 03:33:34.935466
7s,As,bb,beginner,aggress,2023-11-30 03:33:57.505912
5s,9d,sb,beginner,fold,2023-11-30 03:34:30.872098
9h,Qd,sb,beginner,fold,2023-11-30 03:34:47.163161
Ac,Td,bb,advanced,aggress,2023-11-30 03:34:58.354291
3h,2s,sb,advanced,fold,2023-11-30 03:35:07.836834
7d,8h,bb,advanced,aggress,2023-11-30 03:35:11.911425
8c,5s,sb,advanced,fold,2023-11-30 03:35:13.35978
Tc,Qd,sb,advanced,aggress,2023-11-30 03:35:15.315144
2s,8d,sb,beginner,fold,2023-11-30 03:35:17.96317
3h,Tc,bb,advanced,fold,2023-11-30 03:35:20.319215
Ac,5s,sb,advanced,aggress,2023-11-30 03:35:23.849712
6s,7s,sb,advanced,aggress,2023-11-30 03:35:24.908782
9d,Ks,sb,advanced,aggress,2023-11-30 03:35:26.28916
Ad,7h,sb,advanced,fold,2023-11-30 03:35:27.363301
8c,4s,bb,advanced,fold,2023-11-30 03:35:29.362019
8c,Jc,sb,beginner,fold,2023-11-30 03:35:36.216642
5h,Qd,sb,advanced,fold,2023-11-30 03:35:36.413858
8c,Jc,sb,beginner,fold,2023-11-30 03:35:36.589742
3s,2h,sb,beginner,fold,2023-11-30 03:35:36.865606
Js,Kc,bb,advanced,fold,2023-11-30 03:35:37.372828
Js,Ks,sb,beginner,aggress,2023-11-30 03:35:44.618314
Jc,8h,sb,advanced,aggress,2023-11-30 03:35:47.06584
4c,Ks,bb,advanced,aggress,2023-11-30 03:35:57.262727
8s,3c,bb,advanced,fold,2023-11-30 03:36:01.252549
6s,9c,sb,advanced,fold,2023-11-30 03:36:04.288269
As,9d,bb,advanced,fold,2023-11-30 03:36:07.548582
Kd,Tc,sb,advanced,aggress,2023-11-30 03:36:11.537927
Js,Ac,sb,advanced,aggress,2023-11-30 03:36:11.855562
9h,Ts,sb,advanced,aggress,2023-11-30 03:36:16.386645
Kc,5s,bb,advanced,aggress,2023-11-30 03:36:25.960153
Ts,Kc,bb,advanced,fold,2023-11-30 03:36:29.575922
6h,4d,sb,advanced,fold,2023-11-30 03:36:34.616303
6d,6s,bb,advanced,aggress,2023-11-30 03:36:36.540377
Kc,Td,sb,advanced,aggress,2023-11-30 03:36:41.105084
4s,6s,sb,advanced,fold,2023-11-30 03:36:41.619295
7h,Qc,bb,advanced,fold,2023-11-30 03:36:43.527911
4s,8d,sb,advanced,fold,2023-11-30 03:36:46.270618
Jh,5s,sb,advanced,aggress,2023-11-30 03:36:47.773391
5d,Ts,sb,advanced,fold,2023-11-30 03:36:49.948162
Js,Qs,bb,advanced,aggress,2023-11-30 03:37:06.24302
Ts,Td,bb,advanced,aggress,2023-11-30 03:37:10.121857
8c,Kh,bb,advanced,aggress,2023-11-30 03:37:15.488108
6d,4d,sb,beginner,fold,2023-11-30 03:37:20.918416
Td,2d,bb,advanced,fold,2023-11-30 03:37:21.149146
2h,Kh,sb,advanced,fold,2023-11-30 03:37:31.40258
4s,Ac,sb,beginner,fold,2023-11-30 03:37:31.927249
8s,9d,sb,advanced,aggress,2023-11-30 03:37:36.555075
Tc,9h,sb,advanced,aggress,2023-11-30 03:37:38.620657
As,Jd,sb,advanced,aggress,2023-11-30 03:37:44.1854
8c,Kc,sb,advanced,aggress,2023-11-30 03:37:47.461047
3s,Kh,sb,beginner,fold,2023-11-30 03:37:49.635044
7s,8s,sb,advanced,aggress,2023-11-30 03:37:51.030176
7h,2h,sb,advanced,fold,2023-11-30 03:37:51.36987
2d,6h,bb,advanced,fold,2023-11-30 03:37:53.58655
9h,Ks,bb,advanced,aggress,2023-11-30 03:37:53.650476
7d,7h,sb,advanced,aggress,2023-11-30 03:37:56.856661
5h,Ad,sb,beginner,fold,2023-11-30 03:38:14.525464
Th,9h,sb,advanced,aggress,2023-11-30 03:38:15.097718
